,taz,pickups,dropoffs,TAZ,distr,AMshare,PMshare,OPshare,veh_pickups,veh_dropoffs
161,162,1.6,1.4,162,8.0,0.1,0.08,0.12,16.0,13.999999999999998
162,163,1.2,0.4,163,4.0,0.04,0.03,0.05,30.0,10.0
163,164,5.8,3.2,164,8.0,0.1,0.08,0.12,57.99999999999999,32.0
164,165,5.8,3.2,165,8.0,0.1,0.08,0.12,57.99999999999999,32.0
165,166,5.0,1.8,166,10.0,0.07,0.07,0.09,71.42857142857142,25.71428571428571
166,167,3.0,2.8,167,8.0,0.1,0.08,0.12,30.0,27.999999999999996
167,168,2.2,2.0,168,4.0,0.04,0.03,0.05,55.0,50.0
168,169,2.0,1.4,169,7.0,0.05,0.04,0.05,40.0,27.999999999999996
169,170,12.2,3.8,170,9.0,0.1,0.09,0.12,121.99999999999999,37.99999999999999
170,171,8.6,3.6,171,9.0,0.1,0.09,0.12,85.99999999999999,36.0
171,172,0.6,0.4,172,4.0,0.04,0.03,0.05,15.0,10.0
172,173,3.2,2.4,173,8.0,0.1,0.08,0.12,32.0,23.999999999999996
173,174,0.4,0.2,174,4.0,0.04,0.03,0.05,10.0,5.0
174,175,1.2,0.4,175,4.0,0.04,0.03,0.05,30.0,10.0
175,176,21.6,12.4,176,9.0,0.1,0.09,0.12,216.0,124.0
176,177,0.6,0.6,177,8.0,0.1,0.08,0.12,5.999999999999999,5.999999999999999
177,178,3.0,2.8,178,8.0,0.1,0.08,0.12,30.0,27.999999999999996
178,179,4.0,1.6,179,8.0,0.1,0.08,0.12,40.0,16.0
179,180,1.2,1.4,180,7.0,0.05,0.04,0.05,23.999999999999996,27.999999999999996
180,181,4.0,2.0,181,8.0,0.1,0.08,0.12,40.0,20.0
181,182,0.4,0.4,182,4.0,0.04,0.03,0.05,10.0,10.0
182,183,15.8,8.4,183,8.0,0.1,0.08,0.12,158.0,84.0
183,184,0.6,0.6,184,4.0,0.04,0.03,0.05,15.0,15.0
184,185,12.6,8.0,185,9.0,0.1,0.09,0.12,125.99999999999999,80.0
185,186,17.2,15.6,186,9.0,0.1,0.09,0.12,171.99999999999997,156.0
186,187,1.2,1.4,187,4.0,0.04,0.03,0.05,30.0,35.0
187,188,23.8,15.0,188,9.0,0.1,0.09,0.12,238.0,150.0
188,189,25.8,22.8,189,10.0,0.07,0.07,0.09,368.57142857142856,325.71428571428567
189,190,13.2,5.8,190,8.0,0.1,0.08,0.12,131.99999999999997,57.99999999999999
190,191,15.6,7.4,191,9.0,0.1,0.09,0.12,156.0,74.0
191,192,0.6,0.8,192,4.0,0.04,0.03,0.05,15.0,20.0
192,193,0.0,0.2,193,4.0,0.04,0.03,0.05,0.0,5.0
193,194,1.0,0.4,194,4.0,0.04,0.03,0.05,25.0,10.0
194,195,2.0,3.0,195,5.0,0.14,0.13,0.19,14.285714285714285,21.428571428571427
195,196,4.8,3.2,196,8.0,0.1,0.08,0.12,47.99999999999999,32.0
196,197,15.6,12.6,197,10.0,0.07,0.07,0.09,222.85714285714283,179.99999999999997
197,198,1.0,0.4,198,4.0,0.04,0.03,0.05,25.0,10.0
198,199,4.0,2.6,199,8.0,0.1,0.08,0.12,40.0,26.0
199,200,2.6,2.2,200,7.0,0.05,0.04,0.05,52.0,44.0
200,201,13.8,7.8,201,8.0,0.1,0.08,0.12,138.0,78.0
201,202,13.4,13.0,202,8.0,0.1,0.08,0.12,134.0,130.0
202,203,3.0,5.2,203,7.0,0.05,0.04,0.05,60.0,104.0
203,204,28.2,13.6,204,8.0,0.1,0.08,0.12,282.0,136.0
204,205,9.2,8.6,205,9.0,0.1,0.09,0.12,91.99999999999999,85.99999999999999
205,206,1.8,1.4,206,4.0,0.04,0.03,0.05,45.0,35.0
206,207,0.8,0.6,207,4.0,0.04,0.03,0.05,20.0,15.0
207,208,1.2,1.2,208,4.0,0.04,0.03,0.05,30.0,30.0
208,209,15.4,14.0,209,10.0,0.07,0.07,0.09,219.99999999999997,199.99999999999997
209,210,0.4,0.4,210,5.0,0.14,0.13,0.19,2.857142857142857,2.857142857142857
210,211,2.4,1.6,211,5.0,0.14,0.13,0.19,17.142857142857142,11.428571428571429
211,212,13.6,6.0,212,8.0,0.1,0.08,0.12,136.0,60.0
212,213,5.2,3.4,213,5.0,0.14,0.13,0.19,37.14285714285714,24.28571428571428
213,214,18.2,18.4,214,10.0,0.07,0.07,0.09,259.99999999999994,262.85714285714283
214,215,5.0,3.8,215,5.0,0.14,0.13,0.19,35.71428571428571,27.14285714285714
215,216,3.2,2.6,216,4.0,0.04,0.03,0.05,80.0,65.0
216,217,3.8,3.2,217,8.0,0.1,0.08,0.12,37.99999999999999,32.0
217,218,2.0,1.6,218,4.0,0.04,0.03,0.05,50.0,40.0
218,219,1.4,1.2,219,4.0,0.04,0.03,0.05,35.0,30.0
219,220,2.2,0.4,220,4.0,0.04,0.03,0.05,55.0,10.0
220,221,23.8,12.8,221,8.0,0.1,0.08,0.12,238.0,128.0
221,222,5.2,3.4,222,5.0,0.14,0.13,0.19,37.14285714285714,24.28571428571428
222,223,30.2,21.4,223,9.0,0.1,0.09,0.12,302.0,213.99999999999997
223,224,8.0,4.6,224,5.0,0.14,0.13,0.19,57.14285714285714,32.857142857142854
224,225,2.2,2.0,225,5.0,0.14,0.13,0.19,15.714285714285714,14.285714285714285
225,226,19.6,10.6,226,5.0,0.14,0.13,0.19,140.0,75.71428571428571
226,227,15.6,16.6,227,5.0,0.14,0.13,0.19,111.42857142857142,118.57142857142857
227,228,4.0,2.8,228,5.0,0.14,0.13,0.19,28.57142857142857,19.999999999999996
228,229,2.4,2.0,229,5.0,0.14,0.13,0.19,17.142857142857142,14.285714285714285
229,230,17.6,9.0,230,9.0,0.1,0.09,0.12,176.0,90.0
230,231,7.2,4.6,231,8.0,0.1,0.08,0.12,72.0,45.99999999999999
231,232,11.2,10.2,232,8.0,0.1,0.08,0.12,111.99999999999999,101.99999999999999
232,233,5.8,4.4,233,5.0,0.14,0.13,0.19,41.42857142857142,31.428571428571427
233,234,7.8,2.4,234,8.0,0.1,0.08,0.12,78.0,23.999999999999996
234,235,1.2,1.0,235,5.0,0.14,0.13,0.19,8.571428571428571,7.142857142857142
235,236,18.8,18.0,236,9.0,0.1,0.09,0.12,188.0,180.0
236,237,2.6,3.0,237,5.0,0.14,0.13,0.19,18.57142857142857,21.428571428571427
237,238,6.4,2.2,238,8.0,0.1,0.08,0.12,64.0,22.0
238,239,5.6,3.0,239,5.0,0.14,0.13,0.19,39.99999999999999,21.428571428571427
239,240,7.6,3.8,240,5.0,0.14,0.13,0.19,54.28571428571428,27.14285714285714
240,241,7.8,5.2,241,5.0,0.14,0.13,0.19,55.71428571428571,37.14285714285714
241,242,38.6,17.8,242,8.0,0.1,0.08,0.12,386.0,178.0
242,243,13.4,8.4,243,5.0,0.14,0.13,0.19,95.71428571428571,60.0
243,244,5.8,4.4,244,5.0,0.14,0.13,0.19,41.42857142857142,31.428571428571427
244,245,13.4,6.8,245,5.0,0.14,0.13,0.19,95.71428571428571,48.57142857142856
245,246,7.8,3.6,246,5.0,0.14,0.13,0.19,55.71428571428571,25.71428571428571
246,247,10.0,5.8,247,5.0,0.14,0.13,0.19,71.42857142857142,41.42857142857142
247,248,3.6,1.6,248,5.0,0.14,0.13,0.19,25.71428571428571,11.428571428571429
248,249,7.2,4.8,249,5.0,0.14,0.13,0.19,51.42857142857142,34.285714285714285
249,250,1.6,2.4,250,1.0,0.08,0.07,0.1,20.0,30.0
250,251,2.6,2.6,251,1.0,0.08,0.07,0.1,32.5,32.5
251,252,6.4,5.2,252,5.0,0.14,0.13,0.19,45.714285714285715,37.14285714285714
252,253,6.4,4.0,253,5.0,0.14,0.13,0.19,45.714285714285715,28.57142857142857
